task_id,src_network_id,src_network_name,dst_network_id,dst_network_name,src_pe,dest_pe,tensor_shape,bytes,cycles,wait_ids,description,src_type,dst_type
1,,external,0,layer_0_q_proj,P-1,P0,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 0 (rows 0:256),IMC,IMC
2,,external,0,layer_0_q_proj,P-1,P1,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 1 (rows 0:256),IMC,IMC
3,,external,0,layer_0_q_proj,P-1,P2,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 2 (rows 0:256),IMC,IMC
4,,external,0,layer_0_q_proj,P-1,P3,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 3 (rows 0:256),IMC,IMC
5,,external,0,layer_0_q_proj,P-1,P4,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 4 (rows 0:256),IMC,IMC
6,,external,0,layer_0_q_proj,P-1,P5,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 5 (rows 0:256),IMC,IMC
7,,external,0,layer_0_q_proj,P-1,P6,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 6 (rows 256:512),IMC,IMC
8,,external,0,layer_0_q_proj,P-1,P7,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 7 (rows 256:512),IMC,IMC
9,,external,0,layer_0_q_proj,P-1,P8,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 8 (rows 256:512),IMC,IMC
10,,external,0,layer_0_q_proj,P-1,P9,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 9 (rows 256:512),IMC,IMC
11,,external,0,layer_0_q_proj,P-1,P10,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 10 (rows 256:512),IMC,IMC
12,,external,0,layer_0_q_proj,P-1,P11,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 11 (rows 256:512),IMC,IMC
13,,external,0,layer_0_q_proj,P-1,P12,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 12 (rows 512:768),IMC,IMC
14,,external,0,layer_0_q_proj,P-1,P13,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 13 (rows 512:768),IMC,IMC
15,,external,0,layer_0_q_proj,P-1,P14,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 14 (rows 512:768),IMC,IMC
16,,external,0,layer_0_q_proj,P-1,P15,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 15 (rows 512:768),IMC,IMC
17,,external,0,layer_0_q_proj,P-1,P16,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 16 (rows 512:768),IMC,IMC
18,,external,0,layer_0_q_proj,P-1,P17,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 17 (rows 512:768),IMC,IMC
19,0.0,layer_0_q_proj,0,layer_0_q_proj,P0,P0,"(32, 128)",8192,256,1,"Processor 0 partial computation (input:(0, 256), output:(0, 128))",IMC,IMC
20,0.0,layer_0_q_proj,0,layer_0_q_proj,P1,P1,"(32, 128)",8192,256,2,"Processor 1 partial computation (input:(0, 256), output:(128, 256))",IMC,IMC
21,0.0,layer_0_q_proj,0,layer_0_q_proj,P2,P2,"(32, 128)",8192,256,3,"Processor 2 partial computation (input:(0, 256), output:(256, 384))",IMC,IMC
