task_id,src_network_id,src_network_name,dst_network_id,dst_network_name,src_pe,dest_pe,tensor_shape,bytes,cycles,wait_ids,description,src_type,dst_type
1,,external,0,layer_0_q_proj,P-1,P0,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 0 (rows 0:256),IMC,IMC
2,,external,0,layer_0_q_proj,P-1,P1,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 1 (rows 0:256),IMC,IMC
3,,external,0,layer_0_q_proj,P-1,P2,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 2 (rows 0:256),IMC,IMC
4,,external,0,layer_0_q_proj,P-1,P3,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 3 (rows 256:512),IMC,IMC
5,,external,0,layer_0_q_proj,P-1,P4,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 4 (rows 256:512),IMC,IMC
6,,external,0,layer_0_q_proj,P-1,P5,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 5 (rows 256:512),IMC,IMC
7,,external,0,layer_0_q_proj,P-1,P6,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 6 (rows 512:768),IMC,IMC
8,,external,0,layer_0_q_proj,P-1,P7,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 7 (rows 512:768),IMC,IMC
9,,external,0,layer_0_q_proj,P-1,P8,"(32, 256)",16384,512,None,Inter-network input from external[None] processor -1 to layer_0_q_proj[0] processor 8 (rows 512:768),IMC,IMC
10,0.0,layer_0_q_proj,0,layer_0_q_proj,P0,P0,"(32, 256)",16384,512,1,"Processor 0 partial computation (input:(0, 256), output:(0, 256))",IMC,IMC
11,0.0,layer_0_q_proj,0,layer_0_q_proj,P1,P1,"(32, 256)",16384,512,2,"Processor 1 partial computation (input:(0, 256), output:(256, 512))",IMC,IMC
12,0.0,layer_0_q_proj,0,layer_0_q_proj,P2,P2,"(32, 256)",16384,512,3,"Processor 2 partial computation (input:(0, 256), output:(512, 768))",IMC,IMC
13,0.0,layer_0_q_proj,0,layer_0_q_proj,P3,P3,"(32, 256)",16384,512,4,"Processor 3 partial computation (input:(256, 512), output:(0, 256))",IMC,IMC
14,0.0,layer_0_q_proj,0,layer_0_q_proj,P4,P4,"(32, 256)",16384,512,5,"Processor 4 partial computation (input:(256, 512), output:(256, 512))",IMC,IMC
15,0.0,layer_0_q_proj,0,layer_0_q_proj,P5,P5,"(32, 256)",16384,512,6,"Processor 5 partial computation (input:(256, 512), output:(512, 768))",IMC,IMC
16,0.0,layer_0_q_proj,0,layer_0_q_proj,P6,P6,"(32, 256)",16384,512,7,"Processor 6 partial computation (input:(512, 768), output:(0, 256))",IMC,IMC
17,0.0,layer_0_q_proj,0,layer_0_q_proj,P7,P7,"(32, 256)",16384,512,8,"Processor 7 partial computation (input:(512, 768), output:(256, 512))",IMC,IMC
18,0.0,layer_0_q_proj,0,layer_0_q_proj,P8,P8,"(32, 256)",16384,512,9,"Processor 8 partial computation (input:(512, 768), output:(512, 768))",IMC,IMC
19,0.0,layer_0_q_proj,0,layer_0_q_proj,P3,P0,"(32, 256)",16384,512,13,Send partial results from processor 3 to aggregation processor 0,IMC,IMC
20,0.0,layer_0_q_proj,0,layer_0_q_proj,P6,P0,"(32, 256)",16384,512,16,Send partial results from processor 6 to aggregation processor 0,IMC,IMC
21,0.0,layer_0_q_proj,0,layer_0_q_proj,P0,P0,"(32, 256)",16384,512,"10, 19, 20","Row aggregation for column range (0, 256) at processor 0",IMC,IMC
